State,State Code,2011 Percent,2011 Total,2010 Percent,2010 Total,2009 Percent,2009 Total,2008 Percent,2008 Total,2007 Percent,2007 Total,2006 Percent,2006 Total,2005 Percent,2005 Total,2004 Percent,2004 Total,2003 Percent,2003 Total,2002 Percent,2002 Total,2001 Percent,2001 Total,2000 Percent,2000 Total,1999 Percent,1999 Total,1998 Percent,1998 Total,1997 Percent,1997 Total,1996 Percent,1996 Total,1995 Percent,1995 Total,1994 Percent,1994 Total,1993 Percent,1993 Total,1992 Percent,1992 Total,1991 Percent,1991 Total,1990 Percent,1990 Total,1989 Percent,1989 Total,1988 Percent,1988 Total,1987 Percent,1987 Total,1986 Percent,1986 Total,1985 Percent,1985 Total,1984 Percent,1984 Total,1983 Percent,1983 Total,1982 Percent,1982 Total,1981 Percent,1981 Total,1980 Percent,1980 Total,1979 Percent,1979 Total,1978 Percent,1978 Total,1977 Percent,1977 Total,1976 Percent,1976 Total
Kentucky,KY,9.5,196981,10.2,210776,10.3,211846,6.6,134440,5.6,115018,5.9,119665,6,120765,5.6,109149,6.3,123692,5.7,111975,5.2,102086,4.2,82665,4.6,90114,4.6,87517,5.4,102806,5.5,103008,5.6,103785,5.5,99842,6.4,114900,7,123891,7.4,130993,6.1,106730,6.5,112385,7.6,131472,8.3,142456,9.2,158317,9.1,155274,9.1,155081,11.3,192372,10.8,182073,8.7,144124,8.1,133863,5.7,91732,5.3,82755,4.9,75388,5.5,82546
Louisiana,LA,7.3,151332,7.5,154724,6.6,136416,4.4,90875,3.8,76311,3.9,77823,6.7,139473,5.5,112495,6.2,125445,5.9,118214,5.4,108777,5,100630,4.7,95430,5.3,108358,5.7,114690,6.3,125240,6.7,130599,7.5,145780,7.4,139704,7.9,152539,6.9,132226,5.9,110082,7.6,144553,10.5,202456,11.8,229898,12.5,245349,11.5,228163,9.9,191519,11.7,223825,10.2,191098,8.4,156458,6.9,122641,6.5,111119,6.8,112864,6.8,109024,6.5,99827
Maine,ME,7.5,53040,8.2,57324,8.1,56924,5.4,37938,4.7,33013,4.7,32671,4.9,33820,4.6,31687,5,34231,4.4,29626,3.7,25282,3.3,22055,3.9,26322,4.5,29495,5.1,33743,5.2,34190,5.8,37130,6.4,40598,6.6,41604,7.1,45540,7.6,48266,5.3,33245,4,24357,3.7,21677,4.3,25140,5.2,29420,5.5,30758,6,32968,8,42460,8.3,43093,7.1,36528,7.4,37674,6.6,32908,6.4,31036,8.3,39886,8.5,40521
Marshall Islands,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maryland,MD,7,216511,7.8,239441,7.4,224146,4.3,129126,3.4,102980,3.8,114531,4.1,121723,4.3,123657,4.5,128702,4.5,128318,4.1,114779,3.6,100275,3.6,100027,4.3,118817,4.8,132002,4.9,136154,5.1,137191,5.2,138753,6,159280,6.6,174749,6.2,163504,4.6,117578,3.7,93983,4.1,100903,4.3,103254,4.6,107306,4.7,106335,5.1,114491,7.3,161239,8.2,179770,7.2,155078,6.6,142084,5.8,122539,5.7,116775,6.1,121293,6.6,126199
Massachusetts,MA,7.4,254191,8.3,288590,8.2,283543,5.3,185229,4.5,154422,4.8,162495,4.8,163579,5.2,176839,5.8,197648,5.3,181003,3.7,125993,2.7,92292,3.3,109563,3.4,112674,4.1,134564,4.6,147721,5.5,175528,6.2,198690,7.3,232339,8.8,281022,8.8,282590,6.3,203975,4.2,132422,3.3,104345,3.4,104458,4,122686,4.1,124753,4.8,145657,7,208954,8,236372,6.4,189276,5.7,164064,5.5,156341,6.2,173402,7.9,218418,9.8,267633
Michigan,MI,10.3,479987,12.7,600566,13.4,651321,8.3,409456,7.1,356401,6.9,348965,6.8,346018,7.1,355651,7.1,357741,6.2,314740,5.2,267531,3.7,190495,3.8,192277,4,198450,4.3,214386,4.9,241076,5.3,258418,6.2,295563,7.4,347053,9.2,426913,9.3,426807,7.7,357579,7.2,332314,7.6,346245,8.3,374772,8.9,390415,10.1,438653,11.4,490322,14.6,621937,15.6,662401,12.5,537623,12.1,523792,7.9,341586,7.1,298640,8.2,337780,9.4,375504
Minnesota,MN,6.4,190788,7.3,217099,8,236031,5.4,157911,4.7,135385,4.1,118505,4.2,120245,4.6,133571,4.9,140723,4.5,130805,3.8,110216,3.1,87176,2.8,76883,2.7,75042,3.3,88675,3.9,104366,3.7,97531,4.1,104975,4.9,124019,5.1,126208,5.2,126265,4.8,114157,4.3,103071,4.3,100145,5.1,117929,5.6,125931,6,134186,6.3,138980,8,173938,8.1,175005,5.7,122461,5.9,124286,4.3,87531,4,78383,5.4,102844,5.9,109135
Mississippi,MS,10.7,143136,10.5,138445,9.4,121228,6.8,88376,6.3,82165,6.8,87363,7.8,102600,6.3,83525,6.4,83806,6.7,87604,5.6,72680,5.7,74295,5.3,67959,5.4,69827,6,77170,6.3,79591,6.5,82289,6.6,82591,7,84278,8.3,99961,8.9,106030,7.7,90325,8,93419,8.7,100154,10.4,120541,12.1,140302,10.8,121272,10.8,117841,12.6,136875,11.5,123345,8.7,91468,7.7,80791,5.7,58283,7,71371,7.5,75217,6.7,64864
Missouri,MO,8.6,260505,9.4,285541,9.4,290077,5.9,180804,5,153836,4.8,146548,5.4,161747,5.8,171902,5.6,165616,5.2,155947,4.5,134861,3.3,97756,3.1,91337,4,116002,4.3,124029,4.7,134546,4.7,131989,4.9,136375,6.1,165955,6,159668,6.5,172901,5.8,150586,5.5,142469,5.6,144111,6.2,157812,6.2,155759,6.4,156195,7.1,169462,9.8,231982,9.2,214771,7.5,173882,7.3,167497,4.6,105556,4.8,108916,5.9,130270,6.2,130971
